"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","19-Apr-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45233301, 35.03827698)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","11-Oct-25","female","adult","Sorex","Soricomorpha","Soricidae",c(-83.45231599, 35.03913503)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","31-Jul-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45231398, 35.03909396)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","19-Apr-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45231197, 35.03879598)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","19-Apr-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45229596, 35.038827)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","female","adult","Blarina","Soricomorpha","Soricidae",c(-83.45229596, 35.03924198)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","21-May-25","unknown","adult","Sorex","Soricomorpha","Soricidae",c(-83.45229403, 35.03840002)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","25-May-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.45228498, 35.03827698)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","male","adult","Napeozapus","Rodentia","Dipodidae",c(-83.45228297, 35.03839499)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","2-Aug-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224902, 35.03902799)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","31-Jul-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.45224701, 35.03907502)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","13-Oct-25","female","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.452245, 35.03892104)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","11-Oct-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.452245, 35.039116)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","23-Apr-25","female","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","female","juvenile","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","22-May-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","22-May-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45224399, 35.03850899)
