USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"camp, vicinity Onion Valley Reservoir, 3.15 km N & 1.31 km W Duffer Peak summit, Pine Forest Range",29-Jun-12,41.69051,-118.74519,female,,Urocitellus,Rodentia,Sciuridae,7096,7096,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"camp, vicinity Onion Valley Reservoir, 3.15 km N & 1.31 km W Duffer Peak summit, Pine Forest Range",29-Jun-12,41.69051,-118.74519,male,,Urocitellus,Rodentia,Sciuridae,7096,7096,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"mouth of Thomas Canyon, Ruby Mts.",11-Jul-13,40.64835,-115.40357,male,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"mouth of Thomas Canyon, Ruby Mts.",11-Jul-13,40.64835,-115.40357,male,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"mouth of Thomas Canyon, Ruby Mts.",11-Jul-13,40.64835,-115.40357,female,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"mouth of Thomas Canyon, Ruby Mts.",12-Jul-13,40.64835,-115.40357,male,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"mouth of Thomas Canyon, Ruby Mts.",12-Jul-13,40.64835,-115.40357,female,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,3 mi. E Austin,7-Jul-87,39.493245,-117.013184,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"head of Lamoille Canyon, Humboldt-Toiyabe National Forest",17-Aug-14,40.604583,-115.376729,unknown,,Urocitellus,Rodentia,Sciuridae,2617,2617,Urocitellus beldingi
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"head of Lamoille Canyon, Humboldt-Toiyabe National Forest",17-Aug-14,40.604583,-115.376729,male,,Urocitellus,Rodentia,Sciuridae,2617,2617,Urocitellus beldingi
